"","words","frequency"
"325","and if you",749
"326","to talk about",749
"327","that you can",747
"328","i think its",743
"329","were going to",741
"330","you know that",739
"331","come up with",738
"332","the same thing",738
"333","the other day",734
"334","be a good",733
"335","it can be",733
"336","at the moment",732
"337","dont have to",731
"338","will not be",731
"339","a series of",730
"340","and i had",728
"341","some of my",728
"342","that he was",728
"343","thought it was",727
"344","as it is",726
"345","im not sure",725
"346","thanks for following",725
"347","get out of",721
"348","of course i",720
"349","up on the",717
"350","over the years",716
"351","that this is",713
"352","going to get",712
"353","with all the",712
"354","i would love",711
"355","the time to",711
"356","a piece of",710
"357","to do so",710
"358","for you to",709
"359","i'm going to",708
"360","that i would",705
"361","the other hand",705
"362","and a half",704
"363","no matter what",704
"364","to see how",703
"365","to work with",703
"366","if i had",700
"367","this is what",698
"368","cant wait for",695
"369","that we are",694
"370","due to the",693
"371","do you know",692
"372","the time i",690
"373","as you can",689
"374","it was so",688
"375","every time i",687
"376",""" and """,686
"377","going to do",685
"378","used to be",685
"379","don't want to",683
"380","in the house",683
"381","up with the",683
"382","in a few",682
"383","the last time",681
"384","i don't think",680
"385","the kind of",679
"386","i got to",678
"387","a few years",675
"388","is the only",675
"389","a variety of",674
"390","this is my",674
"391","a few of",673
"392","take care of",673
"393","wait to see",673
"394","the next day",672
"395","just want to",670
"396","all of us",669
"397","the people who",669
"398","to get my",669
"399","to get out",669
"400","you so much",669
"401","he was a",667
"402","you for the",667
"403","to tell you",666
"404","we want to",665
"405","more and more",664
"406","you can do",664
"407","a great day",663
"408","and this is",662
"409","all of you",661
"410","have to go",659
"411","i can do",659
"412","a group of",658
"413","the other side",658
"414","what it is",658
"415","in the next",657
"416","the story of",655
"417","the use of",653
"418","a picture of",652
"419","i was so",650
"420","so you can",647
"421","to have to",646
"422","there are many",645
"423","for all of",644
"424","the power of",644
"425","have been a",643
"426","to go back",643
"427","happy mothers day",642
"428","to work on",642
"429","of the first",641
"430","front of the",640
"431","i like the",640
"432","is the most",640
"433","seem to be",640
"434","had to be",639
"435","i get to",639
"436","that there are",637
"437","to be an",637
"438","have a lot",635
"439","for some reason",633
"440","how are you",633
"441","and then i",632
"442","i have the",632
"443","the same way",632
"444","i could have",629
"445","of the book",629
"446","to try to",629
"447","feel free to",628
"448","this was a",628
"449","you can get",628
"450","that is a",627
"451","to create a",627
"452","any of the",626
"453","at the top",625
"454","one of our",624
"455","that i could",624
"456","but i dont",623
"457","what is the",622
"458","for the rest",621
"459","i wonder if",620
"460","to all of",620
"461","to do that",620
"462","a sense of",619
"463","is a very",619
"464","of the week",619
"465","and i love",618
"466","been able to",618
"467","but i was",618
"468","me and i",618
"469","it should be",616
"470","to be on",616
"471","a lot more",615
"472","i try to",614
"473","the way i",612
"474","is on the",611
"475","part of a",611
"476","all of my",610
"477","is such a",610
"478","make sure you",610
"479","and i dont",609
"480","that we have",608
"481","you are not",608
"482","are in the",607
"483","in a way",607
"484","a bit more",606
"485","thanks so much",606
"486","the best of",606
"487","as i was",605
"488","to do this",605
"489","id like to",604
"490","well as the",603
"491","thank you to",602
"492","was the first",602
"493","it was just",601
"494","when you are",600
"495","me in the",599
"496","for a long",598
"497","of the new",598
"498","how much i",596
"499","it looks like",595
"500","may not be",594
"501","for those who",593
"502","being able to",591
"503","to see a",591
"504","i can see",590
"505","and that is",589
"506","was a great",589
"507","over the past",587
"508","<U+FFFD> <U+FFFD> <U+FFFD>",586
"509","the university of",585
"510","those of you",585
"511","all of this",583
"512","i can get",582
"513","out to be",582
"514","to get back",582
"515","to get it",582
"516","in the way",580
"517","on the road",580
"518","down to the",578
"519","get back to",578
"520","a good thing",576
"521","to take the",574
"522","want to know",574
"523",""" he said",573
"524","was a good",573
"525","was a little",573
"526","what kind of",573
"527","here is a",572
"528","but if you",571
"529","to do something",571
"530","based on the",569
"531","just have to",569
"532","in other words",566
"533","to check out",565
"534","i was able",564
"535","need to do",564
"536","i guess i",563
"537","i had the",563
"538","in the back",562
"539","or at least",562
"540","to listen to",562
"541","which is a",562
"542","if i was",561
"543","members of the",561
"544","around the world",560
"545","middle of the",560
"546","to keep the",560
"547","want to get",560
"548","i am in",559
"549","there are some",558
"550","is the first",557
"551","they are not",557
"552","and have a",556
"553","the new york",556
"554","so much fun",555
"555","and all the",554
"556","of the people",554
"557","if i could",553
"558","the ability to",553
"559","the most important",553
"560","to pick up",553
"561","to use the",552
"562","we have been",552
"563","i need a",551
"564","a matter of",550
"565","for me i",550
"566","the last few",550
"567","this was the",550
"568","a fan of",548
"569","some sort of",547
"570","a pair of",546
"571","feel like i",546
"572","it on the",546
"573","over and over",545
"574","and i are",543
"575","if you do",542
"576","here is the",540
"577","much of the",540
"578","we went to",540
"579","what are you",540
"580","because it is",538
"581","i tried to",538
"582","in the face",538
"583","a few minutes",537
"584","in the city",537
"585","to me and",537
"586","in the car",533
"587","just a few",532
"588","of the other",532
"589","on the floor",532
"590","the amount of",532
"591","and you can",531
"592","of you who",531
"593","i still have",527
"594","for those of",526
"595","i know it",525
"596","out on the",525
"597","while i was",525
"598","can be a",523
"599","check it out",523
"600","i miss you",521
"601","more of a",521
"602","up for the",520
"603","along the way",519
"604","would have to",519
"605","and they are",518
"606","it was not",518
"607","the only way",517
"608","here are some",516
"609","not to mention",516
"610","one of these",516
"611","to the next",516
"612","but in the",515
"613","even though i",515
"614","for the last",515
"615","know what to",515
"616","i had been",512
"617","to the point",512
"618","in the process",511
"619","if you like",510
"620","in this case",510
"621","a good idea",508
"622","are a few",508
"623","a list of",507
"624","and the other",507
"625","i should have",507
"626","i have had",506
"627","know what i",506
"628","i needed to",504
"629","member of the",504
"630","some kind of",500
"631","there are no",499
"632","to get some",499
"633","we had to",499
"634","a few more",498
"635","that he is",498
"636","the lack of",497
"637","over the last",496
"638","to have the",496
"639","when he was",496
"640","just wanted to",495
"641","i woke up",494
