"","words","frequency"
"1424","what the fuck",130
"1425","will always be",130
"1426","you got it",130
"1427","you need a",130
"1428","good to be",129
"1429","love to hear",129
"1430","made my day",129
"1431","the best thing",129
"1432","you like to",129
"1433","a shout out",128
"1434","for the rts",128
"1435","i wake up",128
"1436","makes me feel",128
"1437","percent of the",128
"1438","you dont want",128
"1439","you please follow",128
"1440","i hope i",127
"1441","up the good",127
"1442","wait to hear",127
"1443","are you guys",126
"1444","just found out",126
"1445","you have an",126
"1446","you think of",126
"1447","about to get",125
"1448","but i love",125
"1449","i get it",125
"1450","i was at",125
"1451","its a great",125
"1452","thats a good",125
"1453","to hear from",125
"1454","chance to win",124
"1455","for the love",124
"1456","i have an",124
"1457","in the office",124
"1458","last time i",124
"1459","not a good",124
"1460","would you like",124
"1461","you know how",124
"1462","a long day",123
"1463","come back to",123
"1464","give you a",123
"1465","i cant get",123
"1466","i like your",123
"1467","i told you",123
"1468","in the second",123
"1469","not sure if",123
"1470","to be there",123
"1471","way to start",123
"1472","all i want",122
"1473","if you cant",122
"1474","just woke up",122
"1475","made it to",122
"1476","one of your",122
"1477","want me to",122
"1478","going back to",121
"1479","happy valentines day",121
"1480","have the best",121
"1481","havent been on",121
"1482","i feel so",121
"1483","i just had",121
"1484","just got back",121
"1485","me on twitter",121
"1486","on the bus",121
"1487","so much i",121
"1488","so to my",121
"1489","such a good",121
"1490","you dont like",121
"1491","you have no",121
"1492","for following us",120
"1493","here i come",120
"1494","just trying to",120
"1495","on my mind",120
"1496","thank you and",120
"1497","had a blast",119
"1498","learn how to",119
"1499","see you on",119
"1500","that is all",119
"1501","can you please",118
"1502","i got my",118
"1503","i wonder what",118
"1504","is that a",118
"1505","need to stop",118
"1506","on my phone",118
"1507","thank god for",118
"1508","to seeing you",118
"1509","to win a",118
"1510","a great week",117
"1511","as good as",117
"1512","be with you",117
"1513","for a good",117
"1514","i cant stop",117
"1515","i really like",117
"1516","in honor of",117
"1517","is my favorite",117
"1518","is your favorite",117
"1519","love it when",117
"1520","out how to",117
"1521","to all who",117
"1522","all i can",116
"1523","for the great",116
"1524","how did you",116
"1525","i wish you",116
"1526","in a statement",116
"1527","time to go",116
"1528","what would you",116
"1529","he said he",115
"1530","i can be",115
"1531","i love her",115
"1532","i think my",115
"1533","if you think",115
"1534","last night was",115
"1535","nice to see",115
"1536","to get your",115
"1537","welcome to twitter",115
"1538","whats up with",115
"1539","at least i",114
"1540","have a new",114
"1541","i didnt get",114
"1542","i know the",114
"1543","ill be in",114
"1544","me know when",114
"1545","the world to",114
"1546","to get up",114
"1547","wed love to",114
"1548","a big fan",113
"1549","glad you enjoyed",113
"1550","going to sleep",113
"1551","good for you",113
"1552","good luck with",113
"1553","i cant stand",113
"1554","i didnt even",113
"1555","i dont need",113
"1556","just need to",113
"1557","please please please",113
"1558","that i dont",113
"1559","to you and",113
"1560","u have a",113
"1561","you are in",113
"1562","and get a",112
"1563","going to make",112
"1564","great to meet",112
"1565","i dont see",112
"1566","if youre not",112
"1567","to hang out",112
"1568","to you too",112
"1569","was the best",112
"1570","you as well",112
"1571","i got the",111
"1572","im so happy",111
"1573","its not even",111
"1574","the good work",111
"1575","time for the",111
"1576","to tell me",111
"1577","we have the",111
"1578","what are the",111
"1579","who came out",111
"1580","said he was",101
"1581","he said the",93
"1582","according to a",89
"1583","director of the",89
"1584","is expected to",89
"1585","said it was",76
"1586","a year ago",70
"1587","for more than",70
"1588","the st louis",70
"1589","president of the",69
"1590","in the third",68
"1591","in the state",67
"1592","the cost of",64
"1593","the federal government",62
"1594","the first half",59
"1595","the last two",59
"1596","the white house",58
"1597","at the university",57
"1598","he said i",55
"1599","in recent years",55
"1600","over the next",55
"1601","to the public",55
"1602","the los angeles",54
"1603","the new jersey",54
"1604","in the fourth",53
"1605","the city of",52
"1606","the department of",52
"1607","the second half",52
"1608","in new jersey",51
"1609","in st louis",51
"1610","the associated press",51
"1611","are expected to",50
"1612","for more information",50
"1613","of the state",50
"1614","said he would",50
"1615","the state of",50
"1616","vice president of",49
"1617","in los angeles",48
"1618","in an interview",47
"1619","said he had",47
"1620","in his first",45
"1621","of the national",45
"1622","president barack obama",45
"1623","the first round",45
"1624","will be held",45
"1625","contributed to this",44
"1626","gov chris christie",44
"1627","hall of fame",44
"1628","has not been",44
"1629","to the state",44
"1630","and his wife",43
"1631","is trying to",43
"1632","to pay for",43
"1633","years in prison",43
"1634","expected to be",42
"1635","in the area",42
"1636","in the case",42
"1637","in the final",42
"1638","a total of",41
"1639","an average of",41
"1640","two years ago",41
"1641","who has been",41
"1642","a time when",40
"1643","across the country",40
"1644","because of a",40
"1645","executive director of",40
"1646","return to the",40
"1647","spokesman for the",40
"1648","and that the",39
"1649","chairman of the",39
"1650","a spokesman for",38
"1651","declined to comment",38
"1652","in which he",38
"1653","said of the",38
"1654","said she was",38
"1655","she said she",38
"1656","he was the",37
"1657","of the us",37
"1658","place in the",37
"1659","she said the",37
"1660","the first of",37
"1661",""" she said",36
"1662","early in the",36
"1663","in san francisco",36
"1664","involved in the",36
"1665","the company said",36
"1666","the past two",36
"1667","the third quarter",36
"1668","to build a",36
"1669","to the city",36
"1670","head of the",35
"1671","is scheduled to",35
"1672","last year the",35
"1673","of a new",35
"1674","said that the",35
"1675","the fourth quarter",35
"1676","the regular season",35
"1677","earlier this month",34
"1678","earlier this year",34
"1679","role in the",34
"1680","st louis county",34
"1681","the first quarter",34
"1682","was born in",34
"1683","is part of",33
"1684","more likely to",33
"1685","of more than",33
"1686","returned to the",33
"1687","said he is",33
"1688","to win the",33
"1689","youve got to",33
"1690","late in the",32
"1691","millions of dollars",32
"1692","of new york",32
"1693","of st louis",32
"1694","of the city",32
"1695","points in the",32
"1696","said "" i",32
"1697","the supreme court",32
"1698","to return to",32
"1699","to the new",32
"1700","was charged with",32
"1701","a handful of",31
"1702","appears to be",31
"1703","he said it",31
"1704","high school in",31
"1705","in charge of",31
"1706","left in the",31
"1707","of the top",31
"1708","said in an",31
"1709","they have to",31
"1710","to the us",31
"1711","at least a",30
"1712","close to the",30
"1713","deal with the",30
"1714","earlier in the",30
"1715","for the second",30
"1716","grew up in",30
"1717","has been the",30
"1718","he has been",30
"1719","in the summer",30
"1720","new york and",30
"1721","the city council",30
"1722","the death of",30
"1723","to a new",30
"1724","across the state",29
"1725","and has been",29
"1726","first time since",29
"1727","has become a",29
"1728","has yet to",29
"1729","he did not",29
"1730","he said that",29
"1731","in the fall",29
"1732","in the league",29
"1733","less than a",29
"1734","likely to be",29
"1735","on behalf of",29
"1736","the quality of",29
"1737","this year the",29
"1738","three years ago",29
"1739","to this report",29
"1740","was the only",29
"1741",""" i think",28
"1742","but its not",28
"1743","he wants to",28
"1744","in the nfl",28
"1745","more than 100",28
"1746","of the american",28
"1747","on the field",28
"1748","said "" we",28
"1749","said he has",28
"1750","said it is",28
"1751","the possibility of",28
"1752","there were no",28
"1753","time of the",28
"1754","a news conference",27
"1755","and at the",27
"1756","but he said",27
"1757","by the state",27
"1758","he and his",27
"1759","he has a",27
"1760","in an email",27
"1761","in favor of",27
"1762","in response to",27
"1763","make sure that",27
"1764","of the nations",27
"1765","pleaded guilty to",27
"1766","said i think",27
"1767","said it would",27
"1768","state of the",27
"1769","the head of",27
"1770","able to do",26
"1771","appeared to be",26
"1772","been in the",26
"1773","for at least",26
"1774","he was in",26
"1775","in high school",26
"1776","million a year",26
"1777","more than two",26
"1778","of thousands of",26
"1779","open to the",26
"1780","should have been",26
"1781","that kind of",26
"1782","that the company",26
"1783","that would have",26
"1784","the obama administration",26
"1785","the parking lot",26
"1786","the second time",26
"1787","they need to",26
"1788","this year and",26
"1789","two of the",26
"1790","united states and",26
"1791","us district judge",26
"1792","across the street",25
"1793","addition to the",25
"1794","as for the",25
"1795","familiar with the",25
"1796","he had been",25
"1797","in the eighth",25
"1798","in the top",25
"1799","last year and",25
"1800","last year to",25
"1801","new york times",25
"1802","none of the",25
"1803","of new jersey",25
"1804","of the past",25
"1805","one of two",25
"1806","start of the",25
"1807","the risk of",25
"1808","to continue to",25
"1809","to play in",25
"1810","up and down",25
"1811","us department of",25
"1812","went on to",25
"1813","a man who",24
"1814","a trip to",24
"1815","and her husband",24
"1816","as early as",24
"1817","as many as",24
"1818","at this time",24
"1819","back on the",24
"1820","be the first",24
"1821","could not be",24
"1822","him in the",24
"1823","his wife and",24
"1824","in the 1980s",24
"1825","in the senate",24
"1826","in the seventh",24
"1827","is in a",24
"1828","of the last",24
"1829","of the states",24
"1830","of the worlds",24
"1831","on the ballot",24
"1832","secretary of state",24
"1833","state and federal",24
"1834","than a year",24
"1835","the bay area",24
"1836","the city and",24
"1837","the city has",24
"1838","the plain dealer",24
"1839","the state and",24
"1840","theres a lot",24
"1841","was part of",24
"1842","who want to",24
"1843","an opportunity to",23
"1844","at the scene",23
"1845","be part of",23
"1846","even though the",23
"1847","for him to",23
"1848","he said but",23
"1849","he tried to",23
"1850","in a letter",23
"1851","in exchange for",23
"1852","in the day",23
"1853","in the head",23
"1854","in the ninth",23
"1855","many of them",23
"1856","more than half",23
"1857","of the biggest",23
"1858","only a few",23
"1859","responsible for the",23
"1860","round of the",23
"1861","said it will",23
"1862","state department of",23
"1863","than any other",23
"1864","the most recent",23
"1865","the no 1",23
"1866","the past year",23
"1867","the people of",23
"1868","the right thing",23
"1869","the second quarter",23
"1870","the us department",23
"1871","the value of",23
"1872","to give the",23
"1873","to help the",23
"1874","to put the",23
"1875","version of the",23
"1876","we wanted to",23
"1877","were trying to",23
"1878","who had been",23
"1879","will also be",23
"1880","years in the",23
"1881","a letter to",22
"1882","and we have",22
"1883","board of education",22
"1884","but did not",22
"1885","but that was",22
"1886","chief executive officer",22
"1887","department of education",22
"1888","during the first",22
"1889","four years ago",22
"1890","he said its",22
"1891","high school and",22
"1892","in the playoffs",22
"1893","in the region",22
"1894","in the season",22
"1895","in the sixth",22
"1896","later in the",22
"1897","little more than",22
"1898","more than 30",22
"1899","of dollars in",22
"1900","of his career",22
"1901","of the citys",22
"1902","of the united",22
"1903","on their own",22
"1904","player of the",22
"1905","said there is",22
"1906","shot in the",22
"1907","sides of the",22
"1908","the company has",22
"1909","the company is",22
"1910","the first to",22
"1911","the state department",22
"1912","the us and",22
"1913","to new york",22
"1914","trying to make",22
"1915","was not a",22
"1916","were in the",22
"1917","will be available",22
"1918",""" this is",21
"1919","10 am to",21
"1920","a deal with",21
"1921","and his family",21
"1922","and new york",21
"1923","are likely to",21
"1924","are trying to",21
"1925","but he was",21
"1926","even if the",21
"1927","for the city",21
"1928","from the state",21
"1929","he had no",21
"1930","he had to",21
"1931","he said and",21
"1932","he wanted to",21
"1933","he would not",21
"1934","in more than",21
"1935","in the big",21
"1936","in the fifth",21
"1937","in the national",21
"1938","in the nba",21
"1939","in washington dc",21
"1940","it takes to",21
"1941","last two years",21
"1942","last week the",21
"1943","led to the",21
"1944","majority of the",21
"1945","of people who",21
"1946","of the country",21
"1947","of the more",21
"1948","out of his",21
"1949","over the weekend",21
"1950","part of our",21
"1951","past two years",21
"1952","percent in the",21
"1953","run in the",21
"1954","said in the",21
"1955","served as a",21
"1956","st louis and",21
"1957","state and local",21
"1958","that he said",21
"1959","the first two",21
"1960","the high school",21
"1961","the need for",21
"1962","the next two",21
"1963","the same period",21
"1964","the season and",21
"1965","they have been",21
"1966","to cover the",21
"1967","to do more",21
"1968","to stop the",21
"1969","to the hospital",21
"1970","was taken to",21
"1971","we dont have",21
"1972","which is why",21
"1973","who will be",21
"1974","will have a",21
"1975","will take place",21
"1976","a combination of",20
"1977","a team that",20
"1978","an effort to",20
"1979","and the city",20
"1980","are on the",20
"1981","beginning of the",20
"1982","come out of",20
"1983","compared with the",20
"1984","control of the",20
"1985","couple of years",20
"1986","for most of",20
"1987","for two years",20
"1988","have not been",20
"1989","he also said",20
"1990","he was not",20
"1991","in a new",20
"1992","in part because",20
"1993","in the late",20
"1994","in the long",20
"1995","in the midst",20
"1996","in the right",20
"1997","in the wake",20
"1998","in the west",20
"1999","interest in the",20
"2000","is no longer",20
"2001","last year in",20
"2002","may be the",20
"2003","more than one",20
"2004","more than the",20
"2005","number of people",20
"2006","of the month",20
"2007","on the first",20
"2008","runs in the",20
"2009","said that he",20
"2010","said they were",20
"2011","she and her",20
"2012","size of the",20
"2013","support for the",20
"2014","that led to",20
"2015","the board of",20
"2016","the future of",20
"2017","the help of",20
"2018","the issue of",20
"2019","the loss of",20
"2020","the midst of",20
"2021","the san diego",20
"2022","the second round",20
"2023","the unemployment rate",20
"2024","the wake of",20
"2025","to come up",20
"2026","to discuss the",20
"2027","to go through",20
"2028","to join the",20
"2029","to run for",20
"2030","us district court",20
"2031","was forced to",20
"2032","was just a",20
"2033","weve got to",20
"2034","with more than",20
"2035","work in the",20
"2036","working with the",20
"2037","a range of",19
"2038","a string of",19
"2039","a year and",19
"2040","author of the",19
"2041","chamber of commerce",19
"2042","for a second",19
"2043","he is the",19
"2044","hes going to",19
"2045","is based on",19
"2046","more than 20",19
"2047","more than 50",19
"2048","play in the",19
"2049","points per game",19
"2050","said i dont",19
"2051","she was a",19
"2052","should not be",19
"2053","than a decade",19
"2054","the report said",19
"2055","theyre going to",19
"2056","to protect the",19
